stationName,stationUrl,stationLatitude,stationLongitude,tags,Station,Afgange,Afgange_corrected
Fredericia,http://www.dsb.dk/kundeservice/stationer/fredericia/,55.568207,9.740439,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Fredericia,9.0,9.0
Frederikshavn,http://www.dsb.dk/kundeservice/stationer/frederikshavn/,57.44108,10.539949,[],Frederikshavn,3.0,3.0
Frederikssund,http://www.dsb.dk/kundeservice/stationer/frederikssund/,55.835592,12.062436,['Aflåst cykelparkering'],Frederikssund,5.0,5.0
Frederiksværk,http://www.dsb.dk/kundeservice/stationer/frederiksvark/,55.968622,12.0195083,[],Frederiksværk,5.0,5.0
Friheden,http://www.dsb.dk/kundeservice/stationer/friheden/,55.62889,12.482343,['DSB 7-Eleven'],Friheden,9.0,9.0
Fruens Bøge,http://www.dsb.dk/kundeservice/stationer/fruens-boge/,55.369755,10.377829,['Aflåst cykelparkering'],Fruens Bøge,2.0,2.0
Fuglebakken,http://www.dsb.dk/kundeservice/stationer/fuglebakken/,55.695296,12.527477,[],Fuglebakken,18.0,18.0
Gadstrup,http://www.dsb.dk/kundeservice/stationer/gadstrup/,55.5728106,12.099506,[],Gadstrup,4.0,4.0
Gelsted,http://www.dsb.dk/kundeservice/stationer/gelsted/,55.396069,9.974166,[],Gelsted,1.0,1.0
Gentofte,http://www.dsb.dk/kundeservice/stationer/gentofte/,55.7534336,12.5412786,[],Gentofte,10.0,10.0
Gilleleje,http://www.dsb.dk/kundeservice/stationer/gilleleje/,56.1236839,12.3034607,[],Gilleleje,2.0,2.0
Give,http://www.dsb.dk/kundeservice/stationer/give/,55.843168,9.2360368,[],Give,2.0,2.0
Gjesing,http://www.dsb.dk/kundeservice/stationer/gjesing/,55.5100982,8.4571333,[],Gjesing,1.0,1.0
Glostrup,http://www.dsb.dk/kundeservice/stationer/glostrup/,55.663282,12.398726,['DSB 7-Eleven'],Glostrup,13.0,13.0
Glumsø,http://www.dsb.dk/kundeservice/stationer/glumso/,55.353533,11.695318,[],Glumsø,2.0,2.0
Gredstedbro,http://www.dsb.dk/kundeservice/stationer/gredstedbro/,55.398888,8.741082,[],Gredstedbro,3.0,3.0
Greve,http://www.dsb.dk/kundeservice/stationer/greve/,55.5815632,12.295749,[],Greve,10.0,10.0
Grøndal,http://www.dsb.dk/kundeservice/stationer/grondal/,55.690684,12.515871,[],Grøndal,20.0,20.0
Gråsten,http://www.dsb.dk/kundeservice/stationer/grasten/,54.918944,9.593766,[],Gråsten,0.0,0.0
Guldager,http://www.dsb.dk/kundeservice/stationer/guldager/,55.5415671,8.4284722,[],Guldager,2.0,2.0
Gødstrup,http://www.dsb.dk/kundeservice/stationer/godstrup-station/,56.156354,8.896709,[],Gødstrup,2.0,2.0
Gørding,http://www.dsb.dk/kundeservice/stationer/gording/,55.4698356,8.8020242,[],Gørding,0.0,0.0
Gårde,http://www.dsb.dk/kundeservice/stationer/garde/,55.765009,8.611287,[],Gårde,1.0,1.0
Hadsten,http://www.dsb.dk/kundeservice/stationer/hadsten/,56.3276035,10.0471631,[],Hadsten,2.0,2.0
Hammerum,http://www.dsb.dk/kundeservice/stationer/hammerum/,56.1323707,9.0635063,[],Hammerum,1.0,1.0
Hareskov,http://www.dsb.dk/kundeservice/stationer/hareskov/,55.7660192,12.4059077,[],Hareskov,8.0,8.0
Haslev,http://www.dsb.dk/kundeservice/stationer/haslev/,55.3294171,11.9611733,"['Aflåst cykelparkering', 'Stationsstuer']",Haslev,3.0,3.0
Havdrup ,http://www.dsb.dk/kundeservice/stationer/havdrup/,55.543455,12.116982,[],,,
Hedehusene,http://www.dsb.dk/kundeservice/stationer/hedehusene/,55.6489,12.197485,[],Hedehusene,6.0,6.0
Hedensted,http://www.dsb.dk/kundeservice/stationer/hedensted/,55.7683722,9.6986164,[],Hedensted,2.0,2.0
Hee,http://www.dsb.dk/kundeservice/stationer/hee/,56.1436091,8.2862808,[],Hee,1.0,1.0
Hellerup,http://www.dsb.dk/kundeservice/stationer/hellerup/,55.7311155,12.5680862,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Hellerup,6.0,6.0
Helsinge,http://www.dsb.dk/kundeservice/stationer/helsinge/,56.023029,12.205112,[],Helsinge,2.0,2.0
Helsingør,http://www.dsb.dk/kundeservice/stationer/helsingor/,56.033549,12.614496,['DSB 7-Eleven'],Helsingør,7.0,7.0
Herfølge,http://www.dsb.dk/kundeservice/stationer/herfolge/,55.4176264,12.1372593,['Aflåst cykelparkering'],Herfølge,2.0,2.0
Herlev,http://www.dsb.dk/kundeservice/stationer/herlev/,55.718902,12.443812,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Herlev,15.0,15.0
Herning Messecenter,http://www.dsb.dk/kundeservice/stationer/herning-messecenter/,555643.908,6322569.366,[],Herning Messecenter,0.0,0.0
Herning,http://www.dsb.dk/kundeservice/stationer/herning/,56.1332194,8.9779755,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Herning,1.0,1.0
Hillerød,http://www.dsb.dk/kundeservice/stationer/hillerod/,55.927123,12.3105534,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Hillerød,5.0,5.0
Hinnerup,http://www.dsb.dk/kundeservice/stationer/hinnerup/,56.263705,10.0592729,[],Hinnerup,2.0,2.0
Hjallese,http://www.dsb.dk/kundeservice/stationer/hjallese/,55.3582225,10.3925432,[],Hjallese,2.0,2.0
Hjerm,http://www.dsb.dk/kundeservice/stationer/hjerm/,56.4383098,8.6402282,[],Hjerm,3.0,3.0
Hjørring,http://www.dsb.dk/kundeservice/stationer/hjorring/,57.4570501,9.9869405,[],Hjørring,3.0,3.0
Hjørring Øst,http://www.dsb.dk/kundeservice/stationer/hjorring-ost-station/,57.454827,10.006035,[],Hjørring Øst,3.0,3.0
Hobro,http://www.dsb.dk/kundeservice/stationer/hobro/,56.6434139,9.7829402,['Aflåst cykelparkering'],Hobro,5.0,5.0
Holbæk,http://www.dsb.dk/kundeservice/stationer/holbak/,55.715806,11.708332,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Holbæk,4.0,4.0
Holme-Olstrup,http://www.dsb.dk/kundeservice/stationer/holme-olstrup/,55.2598958,11.8553247,[],Holme-Olstrup,2.0,2.0
Holmstrup,http://www.dsb.dk/kundeservice/stationer/holmstrup/,55.362961,10.275328,[],Holmstrup,0.0,0.0
Holstebro,http://www.dsb.dk/kundeservice/stationer/holstebro/,56.365327,8.620803,"['Aflåst cykelparkering', 'Stationsstuer']",Holstebro,3.0,3.0
Holsted,http://www.dsb.dk/kundeservice/stationer/holsted/,55.4819582,8.9112624,[],Holsted,0.0,0.0
Holte,http://www.dsb.dk/kundeservice/stationer/holte/,55.8076658,12.4687732,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Holte,14.0,14.0
Horsens,http://www.dsb.dk/kundeservice/stationer/horsens/,55.86366,9.8359917,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Horsens,6.0,6.0
Humlebæk,http://www.dsb.dk/kundeservice/stationer/humlebak/,55.963692,12.533384,['Aflåst cykelparkering'],Humlebæk,7.0,7.0
Humlum,http://www.dsb.dk/kundeservice/stationer/humlum/,56.540272,8.551149,[],Humlum,1.0,1.0
Hundige,http://www.dsb.dk/kundeservice/stationer/hundige/,55.5977436,12.3323151,['Aflåst cykelparkering'],Hundige,14.0,14.0
Hurup Thy,http://www.dsb.dk/kundeservice/stationer/hurup-thy/,56.751241,8.417765,[],Hurup Thy,1.0,1.0
Husum,http://www.dsb.dk/kundeservice/stationer/husum/,55.7071732,12.4915226,[],Husum,15.0,15.0
Hvalsø,http://www.dsb.dk/kundeservice/stationer/hvalso/,55.5954797,11.8598818,[],Hvalsø,3.0,3.0
Hvidbjerg,http://www.dsb.dk/kundeservice/stationer/hvidbjerg/,56.6500067,8.5263903,[],Hvidbjerg,1.0,1.0
Hviding,http://www.dsb.dk/kundeservice/stationer/hviding/,55.2832,8.726482,[],Hviding,1.0,1.0
Hvidovre,http://www.dsb.dk/kundeservice/stationer/hvidovre/,55.664521,12.472896,[],Hvidovre,9.0,9.0
Højby (Fyn),http://www.dsb.dk/kundeservice/stationer/hojby-fyn-station/,55.33019639781542,10.434292521794651,[],Højby (Fyn),1.0,1.0
Højby Sjælland,http://www.dsb.dk/kundeservice/stationer/hojby-sjalland/,55.9109599,11.6039889,[],Højby Sjælland,2.0,2.0
Høje Taastrup,http://www.dsb.dk/kundeservice/stationer/hoje-taastrup/,55.6483771,12.269294,['DSB 7-Eleven'],Høje Taastrup,10.0,10.0
Højslev,http://www.dsb.dk/kundeservice/stationer/hojslev/,56.5378176,9.1010286,[],Højslev,1.0,1.0
Høng,http://www.dsb.dk/kundeservice/stationer/hong/,55.5068929,11.2860834,[],Høng,2.0,2.0
Hørdum,http://www.dsb.dk/kundeservice/stationer/hordum/,56.84944,8.492797,[],Hørdum,2.0,2.0
Hørning,http://www.dsb.dk/kundeservice/stationer/horning/,56.0818079,10.0383594,[],Hørning,2.0,2.0
Hårlev,http://www.dsb.dk/kundeservice/stationer/harlev/,55.350258,12.226743,[],Hårlev,3.0,3.0
Ikast,http://www.dsb.dk/kundeservice/stationer/ikast/,56.1442171,9.1595924,[],Ikast,2.0,2.0
Ishøj,http://www.dsb.dk/kundeservice/stationer/ishoj/,55.613972,12.34637,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Ishøj,19.0,19.0
Islev,http://www.dsb.dk/kundeservice/stationer/islev/,55.699441,12.469165,['Aflåst cykelparkering'],Islev,5.0,5.0
Jelling,http://www.dsb.dk/kundeservice/stationer/jelling/,55.754186,9.420085,[],Jelling,2.0,2.0
Jerne,http://www.dsb.dk/kundeservice/stationer/jerne-station/,55.47454222349097,8.48583062698492,[],Jerne,3.0,3.0
Jersie,http://www.dsb.dk/kundeservice/stationer/jersie/,55.52071907659139,12.208628626780635,['Aflåst cykelparkering'],Jersie,9.0,9.0
Jyderup,http://www.dsb.dk/kundeservice/stationer/jyderup/,55.6601646,11.3981643,['Aflåst cykelparkering'],Jyderup,1.0,1.0
Jyllingevej,http://www.dsb.dk/kundeservice/stationer/jyllingevej/,55.690576,12.47742,['Aflåst cykelparkering'],Jyllingevej,5.0,5.0
Jægersborg,http://www.dsb.dk/kundeservice/stationer/jagersborg/,55.761621,12.521561,[],Jægersborg,9.0,9.0
Kalundborg,http://www.dsb.dk/kundeservice/stationer/kalundborg/,55.6777263,11.0888449,['Aflåst cykelparkering'],Kalundborg,1.0,1.0
Kalundborg Øst,http://www.dsb.dk/kundeservice/stationer/kalundborg-ost-station/,55.6765781,11.118693,[],Kalundborg Øst,1.0,1.0
Karlslunde,http://www.dsb.dk/kundeservice/stationer/karlslunde/,55.56631443959039,12.268786724462743,['Aflåst cykelparkering'],Karlslunde,10.0,10.0
Kauslunde,http://www.dsb.dk/kundeservice/stationer/kauslunde/,55.497204,9.747172,[],Kauslunde,2.0,2.0
KB Hallen,http://www.dsb.dk/kundeservice/stationer/kb-hallen/,55.677879,12.492953,[],KB Hallen,19.0,19.0
Kibæk,http://www.dsb.dk/kundeservice/stationer/kibak/,56.0324693,8.8521553,[],Kibæk,0.0,0.0
Kildebakke,http://www.dsb.dk/kundeservice/stationer/kildebakke/,55.744263,12.5054453,[],Kildebakke,13.0,13.0
Kildedal,http://www.dsb.dk/kundeservice/stationer/kildedal/,55.768616,12.19831,[],Kildedal,5.0,5.0
Klampenborg,http://www.dsb.dk/kundeservice/stationer/klampenborg/,55.777515,12.587365,[],Klampenborg,5.0,5.0
Kliplev,http://www.dsb.dk/kundeservice/stationer/kliplev/,54.935225,9.398478,[],Kliplev,0.0,0.0
Knabstrup,http://www.dsb.dk/kundeservice/stationer/knabstrup/,55.664414,11.552356,[],Knabstrup,2.0,2.0
Kokkedal,http://www.dsb.dk/kundeservice/stationer/kokkedal/,55.903521,12.501976,['DSB 7-Eleven'],Kokkedal,6.0,6.0
Kolding,http://www.dsb.dk/kundeservice/stationer/kolding/,55.4908177,9.4810916,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Kolding,5.0,5.0
Korsør,http://www.dsb.dk/kundeservice/stationer/korsor/,55.356847,11.135303,['Aflåst cykelparkering'],Korsør,2.0,2.0
Kvissel,http://www.dsb.dk/kundeservice/stationer/kvissel/,57.470564,10.409108,[],Kvissel,4.0,4.0
Kværndrup,http://www.dsb.dk/kundeservice/stationer/kvarndrup/,55.177823,10.519303,[],Kværndrup,0.0,0.0
København H,http://www.dsb.dk/kundeservice/stationer/kobenhavn-h/,55.673535,12.564968,"['DSB Salg & Service', 'DSB 7-Eleven', 'Salg af udlandsbilletter']",København H,24.0,63.0
København Syd,http://www.dsb.dk/kundeservice/stationer/ny-ellebjerg/,55.6616585,12.5167753,[],København Syd,3.0,3.0
Københavns Lufthavn (CPH Airport),http://www.dsb.dk/kundeservice/stationer/kobenhavns-lufthavn-kastrup/,55.6297067,12.6445148,['Servicecenter'],,,
Køge Nord,http://www.dsb.dk/kundeservice/stationer/koge-nord/,55.4990911,12.1733631,[],Køge Nord,3.0,3.0
Køge,http://www.dsb.dk/kundeservice/stationer/koge/,55.458193,12.186403,['DSB 7-Eleven'],Køge,6.0,6.0
Langeskov,http://www.dsb.dk/kundeservice/stationer/langeskov/,55.361017,10.592987,[],Langeskov,2.0,2.0
Langgade,http://www.dsb.dk/kundeservice/stationer/langgade/,55.6616585,12.5167753,[],Langgade,4.0,4.0
Langå,http://www.dsb.dk/kundeservice/stationer/langa/,56.386539,9.896355,[],Langå,4.0,4.0
Laven,http://www.dsb.dk/kundeservice/stationer/laven/,56.125564,9.717392,[],Laven,0.0,0.0
Lejre,http://www.dsb.dk/kundeservice/stationer/lejre/,55.604654,11.9713967,[],Lejre,2.0,2.0
Lem,http://www.dsb.dk/kundeservice/stationer/lem/,56.0245372,8.3858152,[],Lem,1.0,1.0
Lemvig,http://www.dsb.dk/kundeservice/stationer/lemvig/,56.5468216,8.3000436,[],Lemvig,1.0,1.0
Lille Skensved,http://www.dsb.dk/kundeservice/stationer/lille-skensved/,55.5113884,12.1402936,[],Lille Skensved,3.0,3.0
Lindholm,http://www.dsb.dk/kundeservice/stationer/lindholm/,57.0668499,9.9031465,[],Lindholm,0.0,0.0
Lundby,http://www.dsb.dk/kundeservice/stationer/lundby/,55.11039,11.86975,[],Lundby,2.0,2.0
Lunderskov,http://www.dsb.dk/kundeservice/stationer/lunderskov/,55.479968,9.303307,[],Lunderskov,2.0,2.0
Lyngby,http://www.dsb.dk/kundeservice/stationer/lyngby/,55.76869,12.5027977,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Lyngby,19.0,19.0
Lyngs,http://www.dsb.dk/kundeservice/stationer/lyngs/,56.664365,8.451203,[],Lyngs,0.0,0.0
Malmparken,http://www.dsb.dk/kundeservice/stationer/malmparken/,55.725507,12.385161,['Aflåst cykelparkering'],Malmparken,14.0,14.0
Maribo,http://www.dsb.dk/kundeservice/stationer/maribo/,54.7766639,11.5014832,[],Maribo,2.0,2.0
Middelfart,http://www.dsb.dk/kundeservice/stationer/middelfart/,55.5024995,9.734394,['Aflåst cykelparkering'],Middelfart,4.0,4.0
Mørkøv,http://www.dsb.dk/kundeservice/stationer/morkov/,55.6543852,11.5019509,[],Mørkøv,2.0,2.0
Måløv,http://www.dsb.dk/kundeservice/stationer/malov/,55.747451,12.318409,['Aflåst cykelparkering'],Måløv,9.0,9.0
Nakskov,http://www.dsb.dk/kundeservice/stationer/nakskov/,54.8332131,11.1384397,[],Nakskov,1.0,1.0
Nivå,http://www.dsb.dk/kundeservice/stationer/niva/,55.933331,12.506574,[],Nivå,9.0,9.0
Nordhavn,http://www.dsb.dk/kundeservice/stationer/nordhavn/,55.704639,12.590981,['DSB 7-Eleven'],Nordhavn,22.0,45.0
Nyborg,http://www.dsb.dk/kundeservice/stationer/nyborg/,55.3139201,10.8026183,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Nyborg,2.0,2.0
Nykøbing F,http://www.dsb.dk/kundeservice/stationer/nykobing-f/,54.767115,11.877615,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Nykøbing F,1.0,1.0
Nykøbing Sj,http://www.dsb.dk/kundeservice/stationer/nykobing-sj/,55.921588,11.672552,[],Nykøbing Sj,1.0,1.0
Nærum,http://www.dsb.dk/kundeservice/stationer/narum/,55.8141459,12.5280471,[],Nærum,1.0,1.0
Næstved Nord,http://www.dsb.dk/kundeservice/stationer/nastved-nord/,55.248036,11.783641,[],Næstved Nord,2.0,2.0
Næstved,http://www.dsb.dk/kundeservice/stationer/nastved/,55.231172,11.767016,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Næstved,6.0,6.0
Nørre Alslev,http://www.dsb.dk/kundeservice/stationer/norre-alslev/,54.896912,11.8855039,['Aflåst cykelparkering'],Nørre Alslev,2.0,2.0
Nørre Aaby,http://www.dsb.dk/kundeservice/stationer/norre-aby/,55.4601566,9.8701213,[],Nørre Aaby,2.0,2.0
Nørrebro,http://www.dsb.dk/kundeservice/stationer/norrebro/,55.700712,12.5385325,['DSB 7-Eleven'],Nørrebro,19.0,19.0
Nørreport,http://www.dsb.dk/kundeservice/stationer/norreport/,55.682844,12.570983,['DSB 7-Eleven'],Nørreport,19.0,51.0
Oddesund Nord,http://www.dsb.dk/kundeservice/stationer/oddesund-nord/,56.58248,8.54691,[],Oddesund Nord,1.0,1.0
Odense,http://www.dsb.dk/kundeservice/stationer/odense/,55.4011689,10.3878007,"['DSB Salg & Service', 'DSB 7-Eleven', 'Salg af udlandsbilletter']",Odense,7.0,7.0
Odense Sygehus,http://www.dsb.dk/kundeservice/stationer/odense-sygehus/,55.381672,10.367511,[],Odense Sygehus,4.0,4.0
Oksbøl,http://www.dsb.dk/kundeservice/stationer/oksbol/,55.625893,8.283451,[],Oksbøl,2.0,2.0
Ordrup,http://www.dsb.dk/kundeservice/stationer/ordrup/,55.7628929,12.582809,[],Ordrup,10.0,10.0
Padborg,http://www.dsb.dk/kundeservice/stationer/padborg/,54.824543,9.35914,[],Padborg,0.0,0.0
Pederstrup,http://www.dsb.dk/kundeservice/stationer/pederstrup/,55.283788,10.487182,[],Pederstrup,1.0,1.0
Peter Bangs Vej,http://www.dsb.dk/kundeservice/stationer/peter-bangs-vej/,55.681845,12.5179439,[],Peter Bangs Vej,4.0,4.0
Randers,http://www.dsb.dk/kundeservice/stationer/randers/,56.462011,10.021974,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Randers,4.0,4.0
Regstrup,http://www.dsb.dk/kundeservice/stationer/regstrup/,55.677551,11.61264,[],Regstrup,2.0,2.0
Rejsby,http://www.dsb.dk/kundeservice/stationer/rejsby/,55.2282256,8.7546142,[],Rejsby,1.0,1.0
Ribe Nørremark,http://www.dsb.dk/kundeservice/stationer/ribe-norremark/,55.339898,8.776071,[],Ribe Nørremark,3.0,3.0
Ribe,http://www.dsb.dk/kundeservice/stationer/ribe/,55.327612,8.769993,[],Ribe,2.0,2.0
Ringe,http://www.dsb.dk/kundeservice/stationer/ringe/,55.23914,10.481502,[],Ringe,3.0,3.0
Ringkøbing,http://www.dsb.dk/kundeservice/stationer/ringkobing/,56.0927227,8.2496657,[],Ringkøbing,2.0,2.0
Ringsted,http://www.dsb.dk/kundeservice/stationer/ringsted/,55.438398,11.786487,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Ringsted,9.0,9.0
Roskilde,http://www.dsb.dk/kundeservice/stationer/roskilde/,55.6393524,12.0886358,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Roskilde,11.0,11.0
Rudme,http://www.dsb.dk/kundeservice/stationer/rudme/,55.198525,10.485706,[],Rudme,0.0,0.0
Rungsted Kyst,http://www.dsb.dk/kundeservice/stationer/rungsted-kyst/,55.882138,12.531274,['Stationsstuer'],Rungsted Kyst,4.0,4.0
Ry,http://www.dsb.dk/kundeservice/stationer/ry/,56.091265,9.758447,[],Ry,2.0,2.0
Ryparken,http://www.dsb.dk/kundeservice/stationer/ryparken/,55.7153125,12.5591283,[],Ryparken,20.0,38.0
Rødekro,http://www.dsb.dk/kundeservice/stationer/rodekro/,55.069373,9.333345,['Aflåst cykelparkering'],Rødekro,2.0,2.0
Rødkærsbro,http://www.dsb.dk/kundeservice/stationer/rodkarsbro/,56.353233,9.498689,[],Rødkærsbro,4.0,4.0
Rødovre,http://www.dsb.dk/kundeservice/stationer/rodovre/,55.6654924,12.4572267,['DSB 7-Eleven'],Rødovre,8.0,8.0
Rødvig,http://www.dsb.dk/kundeservice/stationer/rodvig/,55.25483,12.378729,[],Rødvig,1.0,1.0
Sakskøbing,http://www.dsb.dk/kundeservice/stationer/sakskobing/,54.7967984,11.6360902,[],Sakskøbing,2.0,2.0
Sejstrup,http://www.dsb.dk/kundeservice/stationer/sejstrup/,55.4352608,8.7322198,[],Sejstrup,3.0,3.0
Sig,http://www.dsb.dk/kundeservice/stationer/sig/,55.665822,8.576915,[],Sig,1.0,1.0
Silkeborg,http://www.dsb.dk/kundeservice/stationer/silkeborg/,56.1643313,9.5441085,['DSB 7-Eleven'],Silkeborg,2.0,2.0
