stationName,stationUrl,stationLatitude,stationLongitude,tags,Station_x,Afgange_x,Station_y,Afgange_y
Herning,http://www.dsb.dk/kundeservice/stationer/herning/,56.1332194,8.9779755,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Herning,4.0,Herning,4.0
Hillerød,http://www.dsb.dk/kundeservice/stationer/hillerod/,55.927123,12.3105534,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Hillerød,5.0,Hillerød,5.0
Hinnerup,http://www.dsb.dk/kundeservice/stationer/hinnerup/,56.263705,10.0592729,[],Hinnerup,2.0,Hinnerup,2.0
Hjallese,http://www.dsb.dk/kundeservice/stationer/hjallese/,55.3582225,10.3925432,[],Hjallese,3.0,Hjallese,3.0
Hjerm,http://www.dsb.dk/kundeservice/stationer/hjerm/,56.4383098,8.6402282,[],Hjerm,4.0,Hjerm,4.0
Hjørring,http://www.dsb.dk/kundeservice/stationer/hjorring/,57.4570501,9.9869405,[],Hjørring,2.0,Hjørring,2.0
Hjørring Øst,http://www.dsb.dk/kundeservice/stationer/hjorring-ost-station/,57.454827,10.006035,[],Hjørring Øst,3.0,Hjørring Øst,3.0
Hobro,http://www.dsb.dk/kundeservice/stationer/hobro/,56.6434139,9.7829402,['Aflåst cykelparkering'],Hobro,3.0,Hobro,3.0
Holbæk,http://www.dsb.dk/kundeservice/stationer/holbak/,55.715806,11.708332,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Holbæk,2.0,Holbæk,2.0
Holme-Olstrup,http://www.dsb.dk/kundeservice/stationer/holme-olstrup/,55.2598958,11.8553247,[],Holme-Olstrup,4.0,Holme-Olstrup,4.0
Holmstrup,http://www.dsb.dk/kundeservice/stationer/holmstrup/,55.362961,10.275328,[],Holmstrup,1.0,Holmstrup,1.0
Holstebro,http://www.dsb.dk/kundeservice/stationer/holstebro/,56.365327,8.620803,"['Aflåst cykelparkering', 'Stationsstuer']",Holstebro,4.0,Holstebro,4.0
Holsted,http://www.dsb.dk/kundeservice/stationer/holsted/,55.4819582,8.9112624,[],Holsted,2.0,Holsted,2.0
Holte,http://www.dsb.dk/kundeservice/stationer/holte/,55.8076658,12.4687732,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Holte,14.0,Holte,14.0
Horsens,http://www.dsb.dk/kundeservice/stationer/horsens/,55.86366,9.8359917,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Horsens,4.0,Horsens,4.0
Humlebæk,http://www.dsb.dk/kundeservice/stationer/humlebak/,55.963692,12.533384,['Aflåst cykelparkering'],Humlebæk,6.0,Humlebæk,6.0
Humlum,http://www.dsb.dk/kundeservice/stationer/humlum/,56.540272,8.551149,[],Humlum,4.0,Humlum,4.0
Hundige,http://www.dsb.dk/kundeservice/stationer/hundige/,55.5977436,12.3323151,['Aflåst cykelparkering'],Hundige,14.0,Hundige,14.0
Hurup Thy,http://www.dsb.dk/kundeservice/stationer/hurup-thy/,56.751241,8.417765,[],Hurup Thy,2.0,Hurup Thy,2.0
Husum,http://www.dsb.dk/kundeservice/stationer/husum/,55.7071732,12.4915226,[],Husum,13.0,Husum,13.0
Hvalsø,http://www.dsb.dk/kundeservice/stationer/hvalso/,55.5954797,11.8598818,[],Hvalsø,2.0,Hvalsø,2.0
Hvidbjerg,http://www.dsb.dk/kundeservice/stationer/hvidbjerg/,56.6500067,8.5263903,[],Hvidbjerg,2.0,Hvidbjerg,2.0
Hviding,http://www.dsb.dk/kundeservice/stationer/hviding/,55.2832,8.726482,[],Hviding,2.0,Hviding,2.0
Hvidovre,http://www.dsb.dk/kundeservice/stationer/hvidovre/,55.664521,12.472896,[],Hvidovre,9.0,Hvidovre,9.0
Højby (Fyn),http://www.dsb.dk/kundeservice/stationer/hojby-fyn-station/,55.33019639781542,10.434292521794651,[],Højby (Fyn),1.0,Højby (Fyn),1.0
Højby Sjælland,http://www.dsb.dk/kundeservice/stationer/hojby-sjalland/,55.9109599,11.6039889,[],,,,
Høje Taastrup,http://www.dsb.dk/kundeservice/stationer/hoje-taastrup/,55.6483771,12.269294,['DSB 7-Eleven'],Høje Taastrup,12.0,Høje Taastrup,12.0
Højslev,http://www.dsb.dk/kundeservice/stationer/hojslev/,56.5378176,9.1010286,[],Højslev,0.0,Højslev,0.0
Høng,http://www.dsb.dk/kundeservice/stationer/hong/,55.5068929,11.2860834,[],Høng,2.0,Høng,2.0
Hørdum,http://www.dsb.dk/kundeservice/stationer/hordum/,56.84944,8.492797,[],Hørdum,2.0,Hørdum,2.0
Hørning,http://www.dsb.dk/kundeservice/stationer/horning/,56.0818079,10.0383594,[],Hørning,1.0,Hørning,1.0
Hårlev,http://www.dsb.dk/kundeservice/stationer/harlev/,55.350258,12.226743,[],Hårlev,3.0,Hårlev,3.0
Ikast,http://www.dsb.dk/kundeservice/stationer/ikast/,56.1442171,9.1595924,[],Ikast,3.0,Ikast,3.0
Ishøj,http://www.dsb.dk/kundeservice/stationer/ishoj/,55.613972,12.34637,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Ishøj,20.0,Ishøj,20.0
Islev,http://www.dsb.dk/kundeservice/stationer/islev/,55.699441,12.469165,['Aflåst cykelparkering'],Islev,4.0,Islev,4.0
Jelling,http://www.dsb.dk/kundeservice/stationer/jelling/,55.754186,9.420085,[],Jelling,2.0,Jelling,2.0
Jerne,http://www.dsb.dk/kundeservice/stationer/jerne-station/,55.47454222349097,8.48583062698492,[],Jerne,3.0,Jerne,3.0
Jersie,http://www.dsb.dk/kundeservice/stationer/jersie/,55.52071907659139,12.208628626780635,['Aflåst cykelparkering'],Jersie,8.0,Jersie,8.0
Jyderup,http://www.dsb.dk/kundeservice/stationer/jyderup/,55.6601646,11.3981643,['Aflåst cykelparkering'],Jyderup,2.0,Jyderup,2.0
Jyllingevej,http://www.dsb.dk/kundeservice/stationer/jyllingevej/,55.690576,12.477420,['Aflåst cykelparkering'],Jyllingevej,4.0,Jyllingevej,4.0
Jægersborg,http://www.dsb.dk/kundeservice/stationer/jagersborg/,55.761621,12.521561,[],Jægersborg,9.0,Jægersborg,9.0
Kalundborg,http://www.dsb.dk/kundeservice/stationer/kalundborg/,55.6777263,11.0888449,['Aflåst cykelparkering'],Kalundborg,1.0,Kalundborg,1.0
Kalundborg Øst,http://www.dsb.dk/kundeservice/stationer/kalundborg-ost-station/,55.6765781,11.118693,[],Kalundborg Øst,2.0,Kalundborg Øst,2.0
Karlslunde,http://www.dsb.dk/kundeservice/stationer/karlslunde/,55.56631443959039,12.268786724462743,['Aflåst cykelparkering'],Karlslunde,10.0,Karlslunde,10.0
Kauslunde,http://www.dsb.dk/kundeservice/stationer/kauslunde/,55.497204,9.747172,[],Kauslunde,2.0,Kauslunde,2.0
KB Hallen,http://www.dsb.dk/kundeservice/stationer/kb-hallen/,55.677879,12.492953,[],KB Hallen,18.0,KB Hallen,18.0
Kerteminde,http://www.dsb.dk/kundeservice/stationer/kerteminde/,55.4507277,10.6591745,[],,,,
Kibæk,http://www.dsb.dk/kundeservice/stationer/kibak/,56.0324693,8.8521553,[],Kibæk,2.0,Kibæk,2.0
Kildebakke,http://www.dsb.dk/kundeservice/stationer/kildebakke/,55.744263,12.5054453,[],Kildebakke,10.0,Kildebakke,10.0
Kildedal,http://www.dsb.dk/kundeservice/stationer/kildedal/,55.768616,12.19831,[],Kildedal,4.0,Kildedal,4.0
Klampenborg,http://www.dsb.dk/kundeservice/stationer/klampenborg/,55.777515,12.587365,[],Klampenborg,5.0,Klampenborg,5.0
Kliplev,http://www.dsb.dk/kundeservice/stationer/kliplev/,54.935225,9.398478,[],Kliplev,2.0,Kliplev,2.0
Knabstrup,http://www.dsb.dk/kundeservice/stationer/knabstrup/,55.664414,11.552356,[],Knabstrup,1.0,Knabstrup,1.0
Kokkedal,http://www.dsb.dk/kundeservice/stationer/kokkedal/,55.903521,12.501976,['DSB 7-Eleven'],Kokkedal,4.0,Kokkedal,4.0
Kolding,http://www.dsb.dk/kundeservice/stationer/kolding/,55.4908177,9.4810916,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Kolding,5.0,Kolding,5.0
Korsør,http://www.dsb.dk/kundeservice/stationer/korsor/,55.356847,11.135303,['Aflåst cykelparkering'],Korsør,2.0,Korsør,2.0
Kvissel,http://www.dsb.dk/kundeservice/stationer/kvissel/,57.470564,10.409108,[],Kvissel,2.0,Kvissel,2.0
Kværndrup,http://www.dsb.dk/kundeservice/stationer/kvarndrup/,55.177823,10.519303,[],Kværndrup,1.0,Kværndrup,1.0
København H,http://www.dsb.dk/kundeservice/stationer/kobenhavn-h/,55.673535,12.564968,"['DSB Salg & Service', 'DSB 7-Eleven', 'Salg af udlandsbilletter']",København H,16.0,København H,16.0
København Syd,http://www.dsb.dk/kundeservice/stationer/ny-ellebjerg/,55.6616585,12.5167753,[],København Syd,2.0,København Syd,2.0
CPH Lufthavn ✈︎,http://www.dsb.dk/kundeservice/stationer/kobenhavns-lufthavn-kastrup/,55.6297067,12.6445148,['Servicecenter'],CPH Lufthavn ✈︎,7.0,CPH Lufthavn ✈︎,7.0
Køge Nord,http://www.dsb.dk/kundeservice/stationer/koge-nord/,55.4990911,12.1733631,[],Køge Nord,3.0,Køge Nord,3.0
Køge,http://www.dsb.dk/kundeservice/stationer/koge/,55.458193,12.186403,['DSB 7-Eleven'],Køge,6.0,Køge,6.0
Langeskov,http://www.dsb.dk/kundeservice/stationer/langeskov/,55.361017,10.592987,[],Langeskov,1.0,Langeskov,1.0
Langgade,http://www.dsb.dk/kundeservice/stationer/langgade/,55.6616585,12.5167753,[],Langgade,6.0,Langgade,6.0
Langå,http://www.dsb.dk/kundeservice/stationer/langa/,56.386539,9.896355,[],Langå,3.0,Langå,3.0
Laven,http://www.dsb.dk/kundeservice/stationer/laven/,56.125564,9.717392,[],Laven,2.0,Laven,2.0
Lejre,http://www.dsb.dk/kundeservice/stationer/lejre/,55.604654,11.9713967,[],Lejre,2.0,Lejre,2.0
Lem,http://www.dsb.dk/kundeservice/stationer/lem/,56.0245372,8.3858152,[],Lem,2.0,Lem,2.0
Lemvig,http://www.dsb.dk/kundeservice/stationer/lemvig/,56.5468216,8.3000436,[],Lemvig,1.0,Lemvig,1.0
Lille Skensved,http://www.dsb.dk/kundeservice/stationer/lille-skensved/,55.5113884,12.1402936,[],Lille Skensved,2.0,Lille Skensved,2.0
Lindholm,http://www.dsb.dk/kundeservice/stationer/lindholm/,57.0668499,9.9031465,[],Lindholm,2.0,Lindholm,2.0
Lundby,http://www.dsb.dk/kundeservice/stationer/lundby/,55.11039,11.86975,[],Lundby,0.0,Lundby,0.0
Lunderskov,http://www.dsb.dk/kundeservice/stationer/lunderskov/,55.479968,9.303307,[],Lunderskov,4.0,Lunderskov,4.0
Lyngby,http://www.dsb.dk/kundeservice/stationer/lyngby/,55.76869,12.5027977,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Lyngby,18.0,Lyngby,18.0
Lyngs,http://www.dsb.dk/kundeservice/stationer/lyngs/,56.664365,8.451203,[],Lyngs,2.0,Lyngs,2.0
Malmparken,http://www.dsb.dk/kundeservice/stationer/malmparken/,55.7255070,12.3851610,['Aflåst cykelparkering'],Malmparken,15.0,Malmparken,15.0
Maribo,http://www.dsb.dk/kundeservice/stationer/maribo/,54.7766639,11.5014832,[],Maribo,2.0,Maribo,2.0
Middelfart,http://www.dsb.dk/kundeservice/stationer/middelfart/,55.5024995,9.734394,['Aflåst cykelparkering'],Middelfart,2.0,Middelfart,2.0
Mørkøv,http://www.dsb.dk/kundeservice/stationer/morkov/,55.6543852,11.5019509,[],Mørkøv,2.0,Mørkøv,2.0
Måløv,http://www.dsb.dk/kundeservice/stationer/malov/,55.7474510,12.3184090,['Aflåst cykelparkering'],Måløv,9.0,Måløv,9.0
Nakskov,http://www.dsb.dk/kundeservice/stationer/nakskov/,54.8332131,11.1384397,[],Nakskov,1.0,Nakskov,1.0
Nivå station,http://www.dsb.dk/kundeservice/stationer/niva/,55.933331,12.506574,[],,,,
Nordhavn,http://www.dsb.dk/kundeservice/stationer/nordhavn/,55.704639,12.590981,['DSB 7-Eleven'],Nordhavn,22.0,Nordhavn,22.0
Nyborg,http://www.dsb.dk/kundeservice/stationer/nyborg/,55.3139201,10.8026183,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Nyborg,4.0,Nyborg,4.0
Nykøbing F,http://www.dsb.dk/kundeservice/stationer/nykobing-f/,54.767115,11.877615,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Nykøbing F,3.0,Nykøbing F,3.0
Nykøbing Mors,http://www.dsb.dk/kundeservice/stationer/nykobing-mors/,56.7946266,8.8633832,[],,,,
Nykøbing Sj,http://www.dsb.dk/kundeservice/stationer/nykobing-sj/,55.921588,11.672552,[],,,,
Nærum,http://www.dsb.dk/kundeservice/stationer/narum/,55.8141459,12.5280471,[],Nærum,1.0,Nærum,1.0
Næstved Nord,http://www.dsb.dk/kundeservice/stationer/nastved-nord/,55.248036,11.783641,[],Næstved Nord,4.0,Næstved Nord,4.0
Næstved,http://www.dsb.dk/kundeservice/stationer/nastved/,55.231172,11.767016,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Næstved,3.0,Næstved,3.0
Nørre Alslev,http://www.dsb.dk/kundeservice/stationer/norre-alslev/,54.896912,11.8855039,['Aflåst cykelparkering'],Nørre Alslev,1.0,Nørre Alslev,1.0
Nørre Aaby,http://www.dsb.dk/kundeservice/stationer/norre-aby/,55.4601566,9.8701213,[],Nørre Aaby,1.0,Nørre Aaby,1.0
Nørrebro,http://www.dsb.dk/kundeservice/stationer/norrebro/,55.700712,12.5385325,['DSB 7-Eleven'],Nørrebro,19.0,Nørrebro,19.0
Nørreport,http://www.dsb.dk/kundeservice/stationer/norreport/,55.682844,12.570983,['DSB 7-Eleven'],Nørreport,14.0,Nørreport,14.0
Oddesund Nord,http://www.dsb.dk/kundeservice/stationer/oddesund-nord/,56.58248,8.54691,[],Oddesund Nord,2.0,Oddesund Nord,2.0
Odense,http://www.dsb.dk/kundeservice/stationer/odense/,55.4011689,10.3878007,"['DSB Salg & Service', 'DSB 7-Eleven', 'Salg af udlandsbilletter']",Odense,4.0,Odense,4.0
Odense Sygehus,http://www.dsb.dk/kundeservice/stationer/odense-sygehus/,55.381672,10.367511,[],Odense Sygehus,2.0,Odense Sygehus,2.0
Oksbøl,http://www.dsb.dk/kundeservice/stationer/oksbol/,55.625893,8.283451,[],Oksbøl,0.0,Oksbøl,0.0
Ordrup,http://www.dsb.dk/kundeservice/stationer/ordrup/,55.7628929,12.582809,[],Ordrup,8.0,Ordrup,8.0
Padborg,http://www.dsb.dk/kundeservice/stationer/padborg/,54.824543,9.35914,[],Padborg,2.0,Padborg,2.0
Pederstrup,http://www.dsb.dk/kundeservice/stationer/pederstrup/,55.283788,10.487182,[],Pederstrup,1.0,Pederstrup,1.0
Peter Bangs Vej,http://www.dsb.dk/kundeservice/stationer/peter-bangs-vej/,55.681845,12.5179439,[],Peter Bangs Vej,4.0,Peter Bangs Vej,4.0
